country_name,country_code,year,"Agriculture, forestry, and fishing, value added (current US$)",Arable land (hectares per person),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),Fertilizer consumption (kilograms per hectare of arable land)
Kenya,KEN,1970-01-01,483755806.49767685,0.307860352081413,630.0,2089966.0,1278.2,17.83,47.32882366516505,14.1428571428571
Kenya,KEN,1971-01-01,500835799.66567993,0.296889346117332,630.0,2007843.0,1270.2,17.849999999999994,47.32882366516505,13.4857142857143
Kenya,KEN,1972-01-01,678774328.4902687,0.286742814634698,630.0,2214950.0,1286.5,19.07,47.32882366516505,15.1968571428571
Kenya,KEN,1973-01-01,799806804.327035,0.277011927737877,630.0,2445860.0,1306.3,20.489999999999995,47.32882366516505,14.5605714285714
Kenya,KEN,1974-01-01,929571628.1713486,0.267787231262124,630.0,2541882.0,1352.2,21.18,47.32882366516505,15.0857142857143
Kenya,KEN,1975-01-01,983441399.4021397,0.281238345723486,630.0,2627749.0,1396.8,21.340000000000003,48.163375672345204,11.7089473684211
Kenya,KEN,1976-01-01,1157957821.93329,0.272252660786153,630.0,3236349.0,1582.8,23.44,48.33302701679645,14.1831578947368
Kenya,KEN,1977-01-01,1663227033.5468993,0.263361817762077,630.0,3177352.0,1550.8,24.91,48.33302701679645,13.5584210526316
Kenya,KEN,1978-01-01,1700601458.0982704,0.254450779376041,630.0,2778901.0,1409.5,24.54,48.163375672345204,13.4215789473684
Kenya,KEN,1979-01-01,1881928894.1768198,0.245785013401104,630.0,2377734.0,1282.7,26.17,47.32882366516505,10.0789473684211
Kenya,KEN,1980-01-01,2019086580.97161,0.237226314965753,630.0,2231089.0,1241.7,25.36,47.32882366516505,16.2105263157895
Kenya,KEN,1981-01-01,1910583456.3323498,0.228894882856117,630.0,2229399.0,1561.6,26.74,48.163375672345204,21.7894736842105
Kenya,KEN,1982-01-01,1863009936.0712996,0.220850944501029,630.0,2946815.0,1962.7,29.68,47.5672640601823,16.5
Kenya,KEN,1983-01-01,1785912154.1143708,0.212928407753866,630.0,2713320.0,1675.9,29.69,48.33302701679645,19.7631578947368
Kenya,KEN,1984-01-01,1827086748.0119,0.201189247193586,630.0,1739552.0,1343.1,25.27,47.32882366516505,21.9481879194631
Kenya,KEN,1985-01-01,1755002109.58819,0.238207231750743,630.0,2915624.0,1633.8,30.41,48.33302701679645,22.4311324879755
